Aeropuertos a Visitar
-23.4339307,-46.4806398, Aeroporto Internacional de Sao Paulo
-34.8370435,-56.0288118, Aeropuerto Internacional de Carrasco
-25.7376190,-54.4824198, Cataratas International Airport
-16.5124829,-68.1991018, Aeropuerto Internacional El Alto
-15.8697317,-47.9194235, Aeroporto Internacional de Brasilia
-34.8152026,-58.5473178, Aeropuerto Internacional Ezeiza
-12.0198466,-77.1231508, Aeropuerto Internacional Jorge Chavez
-33.3908373,-70.8028808, Aeropuerto Internacional Comodoro Arturo Merino Benitez
-25.2410329,-57.5267308, Aeropuerto Internacional Silvio Pettirossi
-22.8053656,-43.2667678, RIOgaleao - Aeroporto Internacional Tom Jobim
17.5369710,-88.3176188, Philip S.W. Goldson International Airport
18.0408089,-63.1191008, Princess Juliana International Airport
17.1379460,-61.7992978, V C Bird International Airport
18.5799538,-72.3009688, Aeroport International Toussaint Louverture
10.5996998,-67.0089548, Aeropuerto Internacional de Maiquetia Simon Bolivar
21.0366955,-86.8848618, Aeropuerto Internacional de Cancun
22.9879391,-82.4197498, Aeropuerto Internacional Jose Marti
13.1650425,-61.1589598, Argyle International Airport
14.5824944,-90.5368868, Aeropuerto Internacional La Aurora
17.2056500,-62.5990798, Vance W. Amory International Airport
13.4411935,-89.0634948, Aeropuerto Internacional de El Salvador Oscar Arnulfo Romero
16.2657101,-61.5357228, Aeroport de Pointe-a-Pitre Le Raizet
19.4354857,-99.0812658, Aeropuerto Internacional Benito Juarez
14.5906274,-61.0146828, Aeroport International Martinique Aime Cesaire
18.4282629,-69.6787208, Aeropuerto Las Américas
25.0414787,-77.4740578, Lynden Pindling International Airport
18.4384909,-66.0081818, Luis Muñoz Marín International Airport
14.0597644,-87.2264028, Aeropuerto Internacional Toncontin
15.5460562,-61.3107318, Douglas-Charles Airport
10.5949748,-61.3448598, Piarco International Airport
12.1425986,-86.1805058, Aeropuerto Internacional Augusto Cesar Sandino
18.5021138,-77.9255918, Sangster International Airport
-0.1222065,-78.3682048, Aeropuerto Internacional Mariscal Sucre
12.0048316,-61.7971818, Maurice Bishop International Airport
6.5024401,-58.2623838, Cheddi Jagan International Airport
9.0617379,-79.3936048, Aeropuerto Internacional Tocumen Panama
5.4558322,-55.2082128, Johan Adolf Pengel International Airport
4.8223952,-52.3740038, Aeroport de Cayenne-Felix Eboue
9.9963298,-84.2126298, Aeropuerto Internacional Juan Santamaria
4.6992532,-74.1529298, Aeropuerto Internacional El Dorado Luis Carlos Galan Sarmiento
